Date,Open,High,Low,Close,Adj Close,Volume
2001-11-12,10.440000,10.440000,10.440000,10.440000,5.510229,0
2001-11-13,10.420000,10.420000,10.420000,10.420000,5.499673,0
2001-11-14,10.370000,10.370000,10.370000,10.370000,5.473283,0
2001-11-15,10.280000,10.280000,10.280000,10.280000,5.425788,0
2001-11-16,10.220000,10.220000,10.220000,10.220000,5.394114,0
2001-11-19,10.270000,10.270000,10.270000,10.270000,5.420505,0
2001-11-20,10.240000,10.240000,10.240000,10.240000,5.404672,0
2001-11-21,10.200000,10.200000,10.200000,10.200000,5.383555,0
2001-11-23,10.180000,10.180000,10.180000,10.180000,5.373004,0
2001-11-26,10.170000,10.170000,10.170000,10.170000,5.367724,0
2001-11-27,10.190000,10.190000,10.190000,10.190000,5.378284,0
2001-11-28,10.190000,10.190000,10.190000,10.190000,5.378284,0
2001-11-29,10.250000,10.250000,10.250000,10.250000,5.409945,0
2001-11-30,10.260000,10.260000,10.260000,10.260000,5.415229,0
2001-12-03,10.260000,10.260000,10.260000,10.260000,5.415229,0
2001-12-04,10.290000,10.290000,10.290000,10.290000,5.431058,0
2001-12-05,10.190000,10.190000,10.190000,10.190000,5.378284,0
2001-12-06,10.150000,10.150000,10.150000,10.150000,5.357168,0
2001-12-07,10.090000,10.090000,10.090000,10.090000,5.325494,0
2001-12-10,10.100000,10.100000,10.100000,10.100000,5.330778,0
2001-12-11,10.120000,10.120000,10.120000,10.120000,5.341334,0
2001-12-12,10.160000,10.160000,10.160000,10.160000,5.362448,0
2001-12-13,10.120000,10.120000,10.120000,10.120000,5.341334,0
2001-12-14,10.080000,10.080000,10.080000,10.080000,5.320226,0
2001-12-17,10.080000,10.080000,10.080000,10.080000,5.320226,0
2001-12-18,10.090000,10.090000,10.090000,10.090000,5.325494,0
2001-12-19,10.130000,10.130000,10.130000,10.130000,5.346613,0
2001-12-20,10.130000,10.130000,10.130000,10.130000,5.346613,0
2001-12-21,10.120000,10.120000,10.120000,10.120000,5.341334,0
2001-12-24,10.100000,10.100000,10.100000,10.100000,5.330778,0
2001-12-26,10.080000,10.080000,10.080000,10.080000,5.320226,0
2001-12-27,10.110000,10.110000,10.110000,10.110000,5.336052,0
2001-12-28,10.100000,10.100000,10.100000,10.100000,5.330778,0
2001-12-31,10.140000,10.140000,10.140000,10.140000,5.351892,0
2002-01-02,10.100000,10.100000,10.100000,10.100000,5.330778,0
2002-01-03,10.120000,10.120000,10.120000,10.120000,5.341334,0
2002-01-04,10.120000,10.120000,10.120000,10.120000,5.341334,0
2002-01-07,10.160000,10.160000,10.160000,10.160000,5.362448,0
