2020-12-09,DJIA,2020-12-09,18556.0
2020-12-09,DJIA,2020-12-10,18556.0
2020-12-09,DJIA,2020-12-11,18556.0
2020-12-09,DJIA,2020-12-09,18556.0
2020-12-09,DJIA,2020-12-10,18556.0
2020-12-09,DJIA,2020-12-11,18556.0
2020-12-11,DJIA,2020-12-11,31636.0
2020-12-11,DJIA,2020-12-12,31741.0
2020-12-11,DJIA,2020-12-13,31862.0
2020-12-11,DJIA,2020-12-11,25039.0
2020-12-11,DJIA,2020-12-12,25042.0
2020-12-11,DJIA,2020-12-13,25081.0
2020-12-11,DJIA,2020-12-11,27212.0
2020-12-11,DJIA,2020-12-12,27274.0
2020-12-11,DJIA,2020-12-13,27366.0
