Full_Name,Symbol,Original_File_Name,Date_Format,Column,Oldest,URL
United States Building Permits,US_BUILD_PERM,united-states.building-permits.csv,yyyy.mm.dd,2,2007-03-20,https://www.mql5.com/en/economic-calendar/united-states/building-permits/export
United States Pending Home Sales m/m,US_PEND_HOME_SALE_M,united-states.pending-home-sales-mm.csv,yyyy.mm.dd,2,2007-06-04,https://www.mql5.com/en/economic-calendar/united-states/pending-home-sales-mm/export
Germany Unemployment Change,GER_UNEMPL_CHANGE,germany.unemployment-change.csv,yyyy.mm.dd,2,2007-12-28,https://www.mql5.com/en/economic-calendar/germany/unemployment-change/export
Germany Retail Sales m/m,GER_RET_SALES_M,germany.retail-sales-mm.csv,yyyy.mm.dd,2,2008-02-29,https://www.mql5.com/en/economic-calendar/germany/retail-sales-mm/export
BYD Company Limited (BYDDF),BYDDF,BYDDF.csv,yyyy-mm-dd,6,2009-02-13,https://query1.finance.yahoo.com/v7/finance/download/BYDDF?period1=1234483200&period2=1607299200&interval=1d&events=history&includeAdjustedClose=true
American Funds EuroPacific Growth Fund Class R-6 (RERGX),RERGX,RERGX.csv,yyyy-mm-dd,6,2009-05-01,https://query1.finance.yahoo.com/v7/finance/download/RERGX?period1=1241136000&period2=1602028800&interval=1d&events=history
"Tesla, Inc. (TSLA)                                            ",TSLA,TSLA.csv,yyyy-mm-dd,6,2010-06-29,https://query1.finance.yahoo.com/v7/finance/download/TSLA?period1=1277769600&period2=1602028800&interval=1d&events=history
Federal Reserve Bank (Fed) of Dallas Manufacturing Index,DALLAS_FED_MFC,united-states.dallas-fed-manufacturing-business-index.csv,yyyy.mm.dd,2,2012-02-27,https://www.mql5.com/en/economic-calendar/united-states/dallas-fed-manufacturing-business-index/export
"Facebook, Inc. (FB)                                           ",FB,FB.csv,yyyy-mm-dd,6,2012-05-18,https://query1.finance.yahoo.com/v7/finance/download/FB?period1=1337299200&period2=1607990400&interval=1d&events=history&includeAdjustedClose=true
Neuberger Berman Mid Cap Growth Fund Class R6 (NRMGX),NRMGX,NRMGX.csv,yyyy-mm-dd,6,2013-03-15,https://query1.finance.yahoo.com/v7/finance/download/NRMGX?period1=1363305600&period2=1602028800&interval=1d&events=history
